zone,groupe,roche,AlphaZone,AlphaGroupe,AlphaRoche,AlphaDescriptRoche,AlphaLabel,nature,type,longueur,largeur,epaisseur,orientation,nom,num Chippendale,nom Bicknell,Notes,LabelSect,X_L2e,Y_L2e,Z,Géographie,Plan,Image
2,2,13@d,II,II,13 ?,13delta,ZII.GII.R 13 ?,GS,None,160,120,0,NESO,Roche longtemps cherchée,,,,Me,1008850.254,1907448.843,2310.22,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGII\ZIIGIIR13@d.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,8@a,II,III,8 ?,8alpha,ZII.GIII.R 8 ?,G,None,130,110,0,NESO,Roche du poignard à la poignée réservée,,,,Me,1009712.638,1907650.609,2256.95,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,8@c,II,III,8 ?,8gamma,ZII.GIII.R 8 ?,GS,P,0,0,0,EO,Roche aux deux petits poignards,,,,Me,1009708.775,1907602.543,2251.88,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8@c.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR8@c\P9050493.JPG
4,3,1@l,IV,III,1 ?,1mu,ZIV.GIII.R 1 ?,G,P,0,0,0,NS,Roche sans nom,,,,Me,1008578.12,1908918.514,2356.35,4,D:\Base de Donnees\Images\Images Faces\ZIV\ZIVGIII\ZIVGIIIR1@l.gif,D:\Base de Donnees\Images\Photos Roches\ZIV\ZIVGIII\ZIVGIIIR1@l\ZIVGIIIR1@l.JPG
2,3,10@a,II,III,10 ?,10alpha,ZII.GIII.R 10 ?,G,P,0,0,0,EO,Roche de la grande paroi,,,,Me,1009866.12,1907885.327,2199.72,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR10@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,3@b,II,III,3 ?,3beta,ZII.GIII.R 3 ?,G,D,0,0,0,,Roche de l'éléphant,,,,Me,1009206.561,1907481.928,2285.41,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR3@b-Fa.gif,D:\Base de Donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR3@b\ZII GIII R3 B 3.jpg
2,3,7,II,III,7,7,ZII.GIII.R 7,GS,P,0,0,0,EO,Roche du grand goulet herbeux,,,,Me,1009660.765,1907587.385,2260.92,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR7.gif,D:\Base de donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR7\P9050480.JPG
2,3,8@b,II,III,8 ?,8beta,ZII.GIII.R 8 ?,GS,D,0,0,0,NOSE,Roche du corniforme érodé,,,,Me,1009733.706,1907635.654,2245.23,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,8@d,II,III,8 ?,8delta,ZII.GIII.R 8 ?,GS,None,250,200,0,NESO,Roche du corniforme sur la face oblique,,,,Me,1009716.483,1907704.682,2258.29,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8@d.gif,D:\Base de Donnees\Images\SS_Image.bmp
2,3,8A,II,III,8A,8A,ZII.GIII.R 8A,GS,D,0,0,0,NS,Roche de la figure à franges associée à un cercle,,,,Me,1009692.45,1907706.613,2265.79,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGIII\ZIIGIIIR8A.gif,D:\Base de Donnees\Images\Photos Roches\ZII\ZIIGIII\ZIIGIIIR8A\XII page 23-01.jpg
3,1,1A,III,I,1A,1A,ZIII.GI.R 1A,G,PB,,,,None,,,,,Me,1009281.9,1908415.205,2172.06,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1A.gif,D:\Base de Donnees\Images\SS_Image.bmp
12,5,1@a,XII,V,1 ?,1alpha,ZXII.GV.R 1 ?,S,D,,,,None,Roche de la grande déesse,,,,Me,1007985.553,1910421.641,2761.93,4,D:\Base de Donnees\Images\Images Faces\ZXII\GV\ZXIIGVR1@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1C,III,I,1C,1C,ZIII.GI.R 1C,G,PB,,,,None,Roche du corniforme à cinq segments,,,,Me,1009275.882,1908419.191,2172.09,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1C.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1D,III,I,1D,1D,ZIII.GI.R 1D,G,PB,,,,None,,,,,Me,1009289.962,1908397.208,2173.14,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1D.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1F,III,I,1F,1F,ZIII.GI.R 1F,G,B,,,,None,,,,,Me,1009288.967,1908395.203,2174.15,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1F.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1L,III,I,1L,1L,ZIII.GI.R 1L,G,B,,,,None,,,,,Me,1009256.984,1908377.088,2190,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1L.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1M,III,I,1M,1M,ZIII.GI.R 1M,G,B,,,,None,,,,,Me,1009254.991,1908374.079,2190.16,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1M.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1H,III,I,1H,1H,ZIII.GI.R 1H,G,B,,,,None,,,,,Me,1009292.968,1908396.216,2173.04,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1H.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,3@c,III,I,3 ?,3gamma,ZIII.GI.R 3 ?,G,PB,,,,None,Roche de la petite terrasse militaire,,,roche en réemploi ds une terrasse conservée au MM,Me,1009227.631,1908381.658,2200.000977,1,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR3@c.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1@a,III,I,1 ?,1alpha,ZIII.GI.R 1 ?,G,B,,,,None,Roche aux nombreux nodules,,,,Me,1009282.99,1908385.174,2181.09,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,1@b,III,I,1 ?,1beta,ZIII.GI.R 1 ?,G,B,,,,None,Roche aux nuages de cupules,,,,Me,1009279.003,1908379.156,2184.1,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR1@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,11@x,III,II,11 ?,11omega,ZIII.GII.R 11 ?,G,D,,,,None,Roche des cornus dirigés vers le pas des Verrairiers,,,,Me,1008342.582,1908163.16,2362,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR11@x.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,2,III,I,2,2,ZIII.GI.R 2,G,B,,,,None,,,,,Me,1009247.998,1908369.053,2194.29,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR2.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,3,III,I,3,3,ZIII.GI.R 3,G,B,,,,None,Roche du grand attelage,,,,Me,1009239.002,1908364.021,2198.45,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR3-Fa.gif,D:\Base de donnees\Images\Photos Roches\ZIII\ZIIIGI\ZIIIGIR3\P8250012.JPG
3,2,1,III,II,1,1,ZIII.GII.R 1,G,PB,,,,None,,,,,Me,1009245.733,1908458.147,2175.03,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR1.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,1@a,III,II,1 ?,1alpha,ZIII.GII.R 1 ?,G,PB,,,,None,,,,,Me,1009198.79,1908420.967,2199.16,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR1@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,1@b,III,II,1 ?,1beta,ZIII.GII.R 1 ?,G,B,,,,None,Roche aux traces de coups,,,,Me,1009244.655,1908484.173,2176.99,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR1@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,2,III,II,2,2,ZIII.GII.R 2,SG,PB,,,,None,,,,,Me,1009146.498,1908499.902,2190.86,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR2.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,2@a,III,II,2 ?,2alpha,ZIII.GII.R 2 ?,G,PB,,,,None,,,,,Me,1009155.494,1908504.934,2188.98,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR2@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,2@b,III,II,2 ?,2beta,ZIII.GII.R 2 ?,G,B,,,,None,,,,,Me,1009172.569,1908485.963,2187,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR2@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,3,III,II,3,3,ZIII.GII.R 3,S,B,,,,None,,,,,Me,1009121.512,1908485.812,2195.9,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR3.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,4,III,II,4,4,ZIII.GII.R 4,SG,B,,,,None,,,,,Me,1009102.423,1908508.782,2198.93,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR4.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,4@a,III,II,4 ?,4alpha,ZIII.GII.R 4 ?,SG,B,,,,None,,,,,Me,1009108.429,1908508.8,2198,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR4@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,4@b,III,II,4 ?,4beta,ZIII.GII.R 4 ?,G,PB,,,,None,,,,,Me,1009090.389,1908515.755,2202.01,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR4@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,4@c,III,II,4 ?,4gamma,ZIII.GII.R 4 ?,SG,B,,,,None,,,,,Me,1009103.45,1908499.775,2199.52,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR4@c.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,5,III,II,5,5,ZIII.GII.R 5,G,B,,,,None,,,,,Me,1009042.27,1908537.638,2211.92,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR5.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,5@a,III,II,5 ?,5alpha,ZIII.GII.R 5 ?,G,B,,,,None,,,,,Me,1009035.245,1908543.624,2213.91,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR5@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,6,III,II,6,6,ZIII.GII.R 6,G,B,,,,None,Roche du torrent de l'Arpette,,,,Me,1009040.188,1908564.662,2211.91,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR6.gif,D:\Base de Donnees\Images\SS_Image.bmp
12,1,18@a,XII,I,18 ?,18alpha,ZXII.GI.R 18 ?,SG,B,,,,None,,,,,Me,1008956.25,1909871.88,2308.93,4,D:\Base de Donnees\Images\Images Faces\ZXII\GI\ZXIIGIR18@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,3@a,III,I,3 ?,3alpha,ZIII.GI.R 3 ?,G,B,,,,None,,,,,Me,1009239.98,1908372.033,2197.17,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR3@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,3@b,III,I,3 ?,3beta,ZIII.GI.R 3 ?,G,B,,,,None,,,,,Me,1009228.04,1908346.969,2207.04,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR3@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,4,III,I,4,4,ZIII.GI.R 4,G,P,,,,None,Roche des corniformes aux cornes enroulées,,,,Me,1009167.873,1908380.83,2224.88,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR4Fa.gif,D:\Base de Donnees\Images\Photos Roches\ZIII\ZIIIGI\ZIIIGIR4\P7080109.JPG
3,1,5A,III,I,5A,5A,ZIII.GI.R 5A,G,P,,,,None,,,,,Me,1009125.761,1908402.731,2233.05,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR5A.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,4@a,III,I,4 ?,4alpha,ZIII.GI.R 4 ?,G,P,,,,None,,,,,Me,1009178.879,1908382.865,2218.97,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR4@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,5B,III,I,5B,5B,ZIII.GI.R 5B,G,P,,,,None,,,,,Me,1009115.753,1908401.701,2237.06,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR5B.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,6,III,I,6,6,ZIII.GI.R 6,G,P,,,,None,,,,,Me,1009093.911,1908339.566,2277.13,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR6Fa.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,6@a,III,I,6 ?,6alpha,ZIII.GI.R 6 ?,G,PB,,,,None,,,,,Me,1009109.007,1908312.58,2279.01,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR6@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,7,III,I,7,7,ZIII.GI.R 7,G,P,,,,None,Roche du grand poignard,,,,Me,1009102.044,1908297.543,2274.89,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR7Fabcd.gif,D:\Base de Donnees\Images\Photos Roches\ZIII\ZIIIGI\ZIIIGIR7\ZIIIGIR7.JPG
3,1,7A,III,I,7A,7A,ZIII.GI.R 7A,G,PB,,,,None,Roche aux deux corniformes perpendiculaires,,,,Me,1009050.027,1908283.374,2305.62,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR7A.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,7@a,III,I,7 ?,7alpha,ZIII.GI.R 7 ?,G,P,,,,None,,,,,Me,1009134.171,1908266.603,2268.02,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR7@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,8,III,I,8,8,ZIII.GI.R 8,G,P,,,,None,,,,,Me,1009128.028,1908312.636,2259.07,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR8.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,8@a,III,I,8 ?,8alpha,ZIII.GI.R 8 ?,G,P,,,,None,,,,,Me,1009130.007,1908320.651,2259.05,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR8@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,9,III,I,9,9,ZIII.GI.R 9,G,A,,,,None,Roche des corniformes alignés,,,,Me,1009366.788,1908146.151,2309.07,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR9Fa.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,9@a,III,I,9 ?,9alpha,ZIII.GI.R 9 ?,G,P,,,,None,Roche de Giacomo Palma,,,,Me,1009378.822,1908139.179,2306.07,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR9@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,12,III,I,12,12,ZIII.GI.R 12,G,P,,,,None,Roche des deux grandes plages jointives,,,,Me,1009285.251,1908297.081,2233.83,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR12.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,12A,III,I,12A,12A,ZIII.GI.R 12A,G,P,,,,None,Roche aux trois groupes de corniformes,,,,Me,1009359.364,1908287.288,2240,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR12A.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,13,III,I,13,13,ZIII.GI.R 13,G,D,,,,None,,,,,Me,1009209.119,1908312.875,2225.67,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR13.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,1,13@a,III,I,13 ?,13alpha,ZIII.GI.R 13 ?,G,PB,,,,None,,,,,Me,1009191.096,1908313.823,2229.46,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGI\ZIIIGIR13@a.gif,D:\Base de Donnees\Images\SS_Image.bmp
3,2,7,III,II,7,7,ZIII.GII.R 7,G,D,,,,None,Roche du poignard superposé à un réticulé,,,,Me,1009020.207,1908550.587,2215.97,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR7.gif,D:\Base de Donnees\Images\Photos Roches\ZIII\ZIIIGII\ZIIIGIIR7\P8280183.JPG
3,2,7A,III,II,7A,7A,ZIII.GII.R 7A,G,B,,,,None,,,,,Me,1009015.196,1908552.575,2217.83,4,D:\Base de Donnees\Images\Images Faces\ZIII\ZIIIGII\ZIIIGIIR7A.gif,D:\Base de Donnees\Images\SS_Image.bmp
1,1,1@a,I,I,1 ?,1alpha,ZI.GI.R 1 ?,G,D,0,0,0,NS,Roche du zigzag de la zone I,,,,Me,1010970.955,1908702.509,2036.71,4,D:\Base de Donnees\Images\Images Faces\ZI\ZIGI\ZIGIR1@a.jpg,D:\Base de donnees\Images\Photos Roches\ZI\ZIGI\ZIGIR1@a\ZIGIR1@a --- axe photo N.jpg
1,1,1@b,I,I,1 ?,1beta,ZI.GI.R 1 ?,GS,None,0,0,0,NESO,Roche du corniforme dans la cuvette,,,,Me,1010929.942,1908691.375,2040,4,D:\Base de Donnees\Images\Images Faces\ZI\ZIGI\ZIGIR1@b.jpg,D:\Base de Donnees\Images\SS_Image.bmp
2,1,13@b,II,I,13 ?,13beta,ZII.GI.R 13 ?,GS,None,80,60,0,NOSE,Roche coincée sous deux blocs,,,,Me,1009521.115,1908433.93,2175.66,4,D:\Base de Donnees\Images\Images Faces\ZII\ZIIGI\ZIIGIR13@b.gif,D:\Base de Donnees\Images\SS_Image.bmp
5,1,1@x,V,I,1 ?,1omega,ZV.GI.R 1 ?,S,PB,115,105,73,NS,,,,,Me,1009433.323,1908608.116,2134.78,4,D:\Base de Donnees\Images\Images Faces\ZV\ZVGI\ZVGIR1@x.gif,D:\Base de Donnees\Images\Photos Roches\ZV\ZVGI\ZVGIR1@x\P7150138.JPG
1,1,1@c,I,I,1 ?,1gamma,ZI.GI.R 1 ?,G,D,0,0,0,NESO,Roche des corniformes traversés par une fissure,,,,Me,1010931.935,1908694.384,2039.93,4,D:\Base de Donnees\Images\Images Faces\ZI\ZIGI\ZIGIR1@c.jpg,D:\Base de Donnees\Images\SS_Image.bmp
1,1,2@c,I,I,2 ?,2gamma,ZI.GI.R 2 ?,GS,None,0,0,0,,Roche du palier en surplomb,,,,Me,1010758.191,1908541.699,2086.79,4,D:\Base de Donnees\Images\Images Faces\ZI\ZIGI\ZIGIR2@c.jpg,D:\Base de Donnees\Images\SS_Image.bmp
